channel_number,channel_id,stream_id,stream_name,stream_url,channel_group_id,timestamp,video_codec,audio_codec,interlaced_status,status,bitrate_kbps,fps,resolution,frames_decoded,frames_dropped,err_decode,err_discontinuity,err_timeout
1.0,1,110850,|UK|  BBC ONE EAST E,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77371.ts,835,2025-12-13T17:47:58.602381,h264,ac3,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,True
1.0,1,62842,|UK| BBC ONE S WEST,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/77373.ts,835,2025-12-13T17:48:28.407217,h264,ac3,PROGRESSIVE,OK,3845.5696,25.0,1920x1080,315.0,0.0,False,False,True
1.0,1,110857,|UK|  BBC ONE SOUTH,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/77374.ts,835,2025-12-13T17:48:39.518048,h264,mp2,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
3.0,5,52159,UK| ITV YORKSHIRE WEST SD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/191030.ts,835,2025-12-13T20:12:04.981815,h264,ac3,INTERLACED,OK,5756.364,25.0,1920x1080,315.0,0.0,False,False,False
3.0,5,49957,UK: ITV1 Yorkshire West,http://easyip.xyz/live/g38Stuew/j7jmCpJ/31175.ts,835,2025-12-13T20:12:04.982263,h264,ac3,INTERLACED,OK,5494.219999999999,25.0,1920x1080,315.0,0.0,False,False,False
3.0,5,21990,UK: ITV Yorkshire 4K,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1173049.ts,835,2025-12-13T20:12:04.984123,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
3.0,5,117216,UK: ITV1 Yorkshire East HD,http://easyip.xyz/live/g38Stuew/j7jmCpJ/34300.ts,835,2025-12-13T20:12:46.471812,h264,mp2,INTERLACED,OK,5792.5656,25.0,1920x1080,419.0,0.0,False,False,False
406.0,43,62564,|UK| Sky Sports F1 UHD,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/1076470.ts,3440,2025-12-13T20:23:10.294817,hevc,eac3,UNKNOWN,OK,N/A,50.0,3840x2160,N/A,N/A,False,False,True
406.0,43,110580,|UK| Sky Sports F1 UHD,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/1076470.ts,3440,2025-12-13T20:23:10.295353,hevc,eac3,UNKNOWN,OK,N/A,50.0,3840x2160,N/A,N/A,False,False,False
406.0,43,49656,UK: Sky Sports Darts UHD,http://easyip.xyz/live/g38Stuew/j7jmCpJ/91265.ts,3440,2025-12-13T20:23:10.296517,hevc,eac3,PROGRESSIVE,OK,10894.3192,50.0,3840x2160,315.0,0.0,False,False,True
406.0,43,110581,|UK| Sky Sports F1 ULTRA ᵁᴴᴰ (DOLBY ATMOS),http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/1148828.ts,3440,2025-12-13T20:23:21.321039,hevc,eac3,PROGRESSIVE,OK,12204.872,50.0,3840x2160,315.0,0.0,False,False,True
406.0,43,50404,UK| SKY SPORTS F1 UHD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/401756449.ts,3440,2025-12-13T20:24:03.737397,hevc,eac3,PROGRESSIVE,OK,11733.2472,50.0,3840x2160,315.0,0.0,False,False,True
406.0,43,62565,|UK| Sky Sports F1 ULTRA ᵁᴴᴰ (DOLBY ATMOS),http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/1148828.ts,3440,2025-12-13T20:24:38.677963,hevc,eac3,PROGRESSIVE,OK,15560.549600000002,50.0,3840x2160,315.0,0.0,False,False,True
1.0,1,110074,|UK| BBC One Yorkshire ᵁᴴᴰ,http://130980947578.d4ktv.info/live/v3w0cvpz3k/6s9is7pm0i/690831.ts,835,2025-12-14T15:45:48.913338,h264,ac3,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
1.0,1,62058,|UK| BBC One Yorkshire ᵁᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/690831.ts,835,2025-12-14T15:45:48.914072,h264,ac3,UNKNOWN,OK,N/A,25.0,1920x1080,N/A,N/A,False,False,False
1.0,1,117207,UK| BBC ONE YORKSHIRE & NORTH MIDLANDS SD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/189988.ts,835,2025-12-14T15:45:48.915851,h264,ac3,PROGRESSIVE,OK,4550.5016000000005,25.0,1920x1080,315.0,0.0,False,False,True
1.0,1,49798,UK: BBC One Yorkshire & North Midlands,http://easyip.xyz/live/g38Stuew/j7jmCpJ/31155.ts,835,2025-12-14T15:45:48.917193,h264,ac3,PROGRESSIVE,OK,4322.332,25.0,1920x1080,315.0,0.0,False,False,False
1.0,1,22018,UK: BBC ONE YORKSHIRE ᴿᴬᵂ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1525677.ts,835,2025-12-14T15:45:59.843939,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
1.0,1,117214,|UK| BBC One Yorkshire & Lincolnshire ᵁᴴᴰ,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/690826.ts,835,2025-12-14T15:45:59.844074,h264,ac3,PROGRESSIVE,OK,4488.3152,25.0,1920x1080,315.0,0.0,False,False,False
1.0,1,21863,UK: BBC ONE YORKS ◉,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/162184.ts,835,2025-12-14T15:46:10.423133,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
1.0,1,22006,UK: BBC ONE EAST YORKSHIRE & LINCOLNSHIRE ᴿᴬᵂ,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/1525689.ts,835,2025-12-14T15:46:20.945362,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
